,0,1,2,3,4,5,6,7,8,9,10
0,-0.33213282,3.5558717,-0.13924727,-0.13213375,-0.23037732,-0.45385587,0.056349974,-0.33384615,2.878969,-0.15736932,15.498752
1,-0.47472745,1.8485332,-0.12923652,-0.43297952,-0.09575974,-0.8146281,-0.41405824,-0.7836328,-2.6286721,0.10814058,10.694925
2,-0.46153694,1.8608501,-0.13671324,-0.16384032,-0.14624862,-0.8152824,-0.61252403,-0.7905734,-2.6279173,0.2040351,10.567654
3,0.4600938,2.4961674,-0.122929685,-0.23160668,-0.13884392,-0.8099135,-0.10304877,-0.32998893,0.64768136,-0.14535823,13.494952
4,0.45772788,2.6692686,-0.12820078,-0.3267139,-0.17117597,-0.8092258,-0.05363569,-0.33357123,0.9313881,-0.121285416,13.849823
5,-0.33253708,3.5565052,-0.1345376,-0.13604867,-0.22962241,-0.45596945,0.05588325,-0.33316976,2.8824668,-0.15722759,15.495232
6,-0.32135624,3.565277,-0.08951478,-0.28622273,-0.28441682,-0.4456534,0.055927265,-0.3345515,2.8658671,-0.14673238,15.6323595
7,1.6564155,2.6591883,-0.08089047,-0.43540645,-0.18753311,-0.7682783,-0.17057163,-0.3346267,0.46775037,-0.38307682,13.43406
8,-0.3332074,3.4063075,-0.09159938,-0.29866952,-0.28313088,-0.44898647,0.055302177,-0.3303577,2.9293804,-0.14239325,15.791231
9,1.6554922,2.6635432,-0.08471883,-0.4284365,-0.1847081,-0.7708732,-0.17344175,-0.33366087,0.4672734,-0.37882462,13.425388
10,0.07222868,1.6204484,-0.09371256,-0.42619362,-0.11040168,-0.9429121,-0.39932337,-0.7591395,-2.8219988,-0.36142772,10.175192
11,0.06689585,1.6307681,-0.13215946,-0.36637324,-0.106516674,-0.9382538,-0.39714664,-0.7557696,-2.820426,-0.37728018,10.109694
12,-0.46716183,1.8400022,-0.08954693,-0.49623436,-0.09336348,-0.80727345,-0.6206392,-0.779879,-2.6115224,0.1888828,10.8130045
13,2.0669177,3.2000766,-0.12560497,-0.37532553,-0.22202109,-0.5689716,-0.50023526,-0.40650493,1.8583319,-0.3186103,14.493304
14,2.0692136,3.216037,-0.09052001,-0.544631,-0.28639868,-0.52399766,-0.49864793,-0.4023699,1.8656871,-0.33465192,14.64225
15,-0.47457436,1.8693924,-0.12963365,-0.43266514,-0.09583612,-0.80329174,-0.61979145,-0.7842709,-2.612663,0.18873526,10.772502
16,1.1518978,2.8863733,-0.0887138,-0.4955551,-0.11900629,-0.64541113,-0.1867497,-0.36078715,0.63095003,0.066277064,13.941262
17,1.011699,2.8388016,-0.10759933,-0.41583893,-0.18715003,-0.39311305,-0.72399867,-0.022196706,0.5537624,0.2696986,14.211231
18,1.3194202,2.8475943,-0.13297354,-0.5392207,-0.19721434,-0.7858934,-0.4744873,-0.41492972,0.7541855,-0.45631495,13.504933
19,-0.32328546,3.5664954,-0.09132447,-0.28657907,-0.2833875,-0.44979572,0.057266243,-0.33267605,2.8547995,-0.14604281,15.645512
20,1.1509755,2.907469,-0.092796944,-0.48749202,-0.11850842,-0.6450704,-0.18745337,-0.36759654,0.63193685,0.06006312,13.929005
21,0.1623386,1.7030586,-0.08450072,-0.45168525,-0.11578815,-0.86441886,-0.7704833,-0.7598831,-2.791502,-0.021119453,10.580061
22,1.0106137,3.0144956,-0.087564625,-0.35576558,-0.2781706,-0.31486768,-0.24663682,-0.09968471,1.5648645,-0.20033972,14.74156
23,-0.4267358,1.806232,-0.13452762,-0.16787022,-0.14078121,-0.89713067,-0.7565484,-0.84745055,-2.6073654,0.20169558,10.570295
24,1.656105,2.6541157,-0.08778627,-0.4308558,-0.18777533,-0.7650263,-0.1711308,-0.3348945,0.46747884,-0.36229593,13.419106
25,0.072196536,1.6093326,-0.09266422,-0.4323857,-0.112667985,-0.9394621,-0.39543027,-0.7567481,-2.8230407,-0.34872085,10.172358
26,0.78397375,3.0658343,-0.12628828,-0.31763837,-0.26412937,-0.6459915,-0.066677704,-0.3268756,1.7826829,-0.19106176,14.729261
27,-0.33531606,3.5123572,-0.09647188,-0.35504517,-0.2842603,-0.44806075,0.060350735,-0.33082914,2.9120104,-0.15734324,15.949588
