,total_no,year,huc,total_no_filled
127,229368502.0,2015,20503060707,229368502.0
128,220844828.0,2016,20503060707,220844828.0
129,159744664.0,2017,20503060707,159744664.0
130,148925148.0,2018,20503060707,148925148.0
131,127275788.0,2019,20503060707,127275788.0
132,0.0,2005,20801100403,337762608.3333333
133,0.0,2008,20801100403,337762608.3333333
134,697124730.0,2010,20801100403,697124730.0
135,607733958.0,2011,20801100403,607733958.0
136,478450334.0,2012,20801100403,478450334.0
137,473535876.0,2013,20801100403,473535876.0
138,460089000.0,2014,20801100403,460089000.0
139,371694480.0,2015,20801100403,371694480.0
140,304145138.0,2016,20801100403,304145138.0
141,237566066.0,2017,20801100403,237566066.0
142,235152846.0,2018,20801100403,235152846.0
143,187658872.0,2019,20801100403,187658872.0
144,0.0,2005,20600020406,338410715.0
145,0.0,2008,20600020406,338410715.0
146,677190662.0,2010,20600020406,677190662.0
147,604292816.0,2011,20600020406,604292816.0
148,469032008.0,2012,20600020406,469032008.0
149,463711360.0,2013,20600020406,463711360.0
150,460628390.0,2014,20600020406,460628390.0
151,359662648.0,2015,20600020406,359662648.0
152,313897340.0,2016,20600020406,313897340.0
153,259861352.0,2017,20600020406,259861352.0
154,253187802.0,2018,20600020406,253187802.0
155,199464202.0,2019,20600020406,199464202.0
156,0.0,2005,20700020205,356967127.1666667
157,0.0,2008,20700020205,356967127.1666667
158,705128704.0,2010,20700020205,705128704.0
159,624728632.0,2011,20700020205,624728632.0
160,511537792.0,2012,20700020205,511537792.0
161,504979652.0,2013,20700020205,504979652.0
162,491003778.0,2014,20700020205,491003778.0
163,389833298.0,2015,20700020205,389833298.0
164,331044512.0,2016,20700020205,331044512.0
165,268119110.0,2017,20700020205,268119110.0
166,253646238.0,2018,20700020205,253646238.0
167,203583810.0,2019,20700020205,203583810.0
168,0.0,2005,20801060501,184798707.16666666
169,0.0,2008,20801060501,184798707.16666666
170,269199324.0,2010,20801060501,269199324.0
171,302971656.0,2011,20801060501,302971656.0
172,268888908.0,2012,20801060501,268888908.0
173,281271968.0,2013,20801060501,281271968.0
174,263921606.0,2014,20801060501,263921606.0
175,229022088.0,2015,20801060501,229022088.0
176,221931376.0,2016,20801060501,221931376.0
177,151907272.0,2017,20801060501,151907272.0
178,122007182.0,2018,20801060501,122007182.0
179,106463106.0,2019,20801060501,106463106.0
180,0.0,2005,20700081004,115663462.5
181,0.0,2008,20700081004,115663462.5
182,140732996.0,2010,20700081004,140732996.0
183,149465582.0,2011,20700081004,149465582.0
184,187072030.0,2012,20700081004,187072030.0
185,187144670.0,2013,20700081004,187144670.0
186,167951788.0,2014,20700081004,167951788.0
187,140078388.0,2015,20700081004,140078388.0
188,133364898.0,2016,20700081004,133364898.0
189,100599610.0,2017,20700081004,100599610.0
190,97066558.0,2018,20700081004,97066558.0
191,84485030.0,2019,20700081004,84485030.0
192,0.0,2005,20700041006,318071595.3333333
193,0.0,2008,20700041006,318071595.3333333
194,655132720.0,2010,20700041006,655132720.0
195,571665468.0,2011,20700041006,571665468.0
196,451118134.0,2012,20700041006,451118134.0
197,447852014.0,2013,20700041006,447852014.0
198,437874348.0,2014,20700041006,437874348.0
199,345326958.0,2015,20700041006,345326958.0
200,284019880.0,2016,20700041006,284019880.0
201,223288858.0,2017,20700041006,223288858.0
