,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_randomforestregressor__n_estimators,param_randomforestregressor__min_samples_split,param_randomforestregressor__min_samples_leaf,param_randomforestregressor__max_samples,param_randomforestregressor__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,12.796917200088501,1.7937834068830594,2.5798518657684326,1.1890790990911557,600,6,9,650,400,"{'randomforestregressor__n_estimators': 600, 'randomforestregressor__min_samples_split': 6, 'randomforestregressor__min_samples_leaf': 9, 'randomforestregressor__max_samples': 650, 'randomforestregressor__max_depth': 400}",0.5640063947689177,0.5400145276802002,0.49938125596698546,0.5799294882184941,0.5898991390496826,0.554646161136856,0.03236642548917266,21
1,12.512098836898804,2.031112462792643,2.4850312232971192,1.1591453941017655,500,2,10,900,550,"{'randomforestregressor__n_estimators': 500, 'randomforestregressor__min_samples_split': 2, 'randomforestregressor__min_samples_leaf': 10, 'randomforestregressor__max_samples': 900, 'randomforestregressor__max_depth': 550}",0.5740081948432906,0.5806413077530145,0.5421127355121336,0.6205642652788128,0.6317373829064621,0.5898127772587427,0.03259607717199993,15
2,12.240503549575806,2.3861790710107624,2.70198278427124,0.8638236098680833,650,8,10,950,150,"{'randomforestregressor__n_estimators': 650, 'randomforestregressor__min_samples_split': 8, 'randomforestregressor__min_samples_leaf': 10, 'randomforestregressor__max_samples': 950, 'randomforestregressor__max_depth': 150}",0.5774474717684344,0.5908836247819053,0.549776135731632,0.6293152144215457,0.6400133533428136,0.5974871600092662,0.03329576485687935,13
3,15.014583444595337,1.7910622439935473,1.8997761249542235,0.5802615132810787,800,6,2,850,200,"{'randomforestregressor__n_estimators': 800, 'randomforestregressor__min_samples_split': 6, 'randomforestregressor__min_samples_leaf': 2, 'randomforestregressor__max_samples': 850, 'randomforestregressor__max_depth': 200}",0.7083895940900544,0.7533786648049957,0.6986751778894833,0.7385911288072537,0.7964054753490805,0.7390880081881736,0.03482915812445395,1
4,8.714891338348389,1.6594779862072693,2.2112106323242187,0.4843949811641654,200,10,9,1000,450,"{'randomforestregressor__n_estimators': 200, 'randomforestregressor__min_samples_split': 10, 'randomforestregressor__min_samples_leaf': 9, 'randomforestregressor__max_samples': 1000, 'randomforestregressor__max_depth': 450}",0.5758520836559979,0.6170550467706479,0.5696571137768206,0.6558449061090763,0.6677992540219849,0.6172416808669056,0.0400592107190015,10
5,13.817599058151245,0.8082015550388398,1.864419174194336,0.3228590902007752,900,7,1,650,400,"{'randomforestregressor__n_estimators': 900, 'randomforestregressor__min_samples_split': 7, 'randomforestregressor__min_samples_leaf': 1, 'randomforestregressor__max_samples': 650, 'randomforestregressor__max_depth': 400}",0.6319757355715223,0.6909046630333278,0.6335414240517139,0.698562478624244,0.7457805657738239,0.6801529734109264,0.0430236501724042,6
6,12.291890287399292,1.2397075203044488,1.849960947036743,0.3962410347610065,1000,9,3,100,200,"{'randomforestregressor__n_estimators': 1000, 'randomforestregressor__min_samples_split': 9, 'randomforestregressor__min_samples_leaf': 3, 'randomforestregressor__max_samples': 100, 'randomforestregressor__max_depth': 200}",0.4118342614175887,0.3524960518810356,0.3213889071768149,0.38843095721801546,0.38932484171730486,0.372695003882152,0.03192605968583659,28
7,7.560784435272216,0.8749545088560481,1.5331704139709472,0.38527712156625754,100,10,3,300,800,"{'randomforestregressor__n_estimators': 100, 'randomforestregressor__min_samples_split': 10, 'randomforestregressor__min_samples_leaf': 3, 'randomforestregressor__max_samples': 300, 'randomforestregressor__max_depth': 800}",0.5488636552445758,0.5645924893595342,0.5108128626933133,0.5860664430431453,0.6156722338901914,0.5652015368461519,0.03523651731057507,17
8,6.868354797363281,0.6848559712072184,1.359744167327881,0.11079029475271292,150,3,2,250,600,"{'randomforestregressor__n_estimators': 150, 'randomforestregressor__min_samples_split': 3, 'randomforestregressor__min_samples_leaf': 2, 'randomforestregressor__max_samples': 250, 'randomforestregressor__max_depth': 600}",0.5718117933238307,0.5849272219653702,0.5309029086680375,0.5917651601391586,0.6313242928352453,0.5821462753863285,0.032408079733594275,16
9,7.548390674591064,0.7771765822390349,1.318636989593506,0.08645735807507159,250,9,3,400,500,"{'randomforestregressor__n_estimators': 250, 'randomforestregressor__min_samples_split': 9, 'randomforestregressor__min_samples_leaf': 3, 'randomforestregressor__max_samples': 400, 'randomforestregressor__max_depth': 500}",0.5640021847747743,0.5996675226895963,0.5447273282941633,0.6269211343294573,0.646550429211338,0.5963737198598659,0.037886572488741825,14
10,9.171226978302002,0.50762603851105,1.5661444187164306,0.2179268525153177,600,2,10,400,950,"{'randomforestregressor__n_estimators': 600, 'randomforestregressor__min_samples_split': 2, 'randomforestregressor__min_samples_leaf': 10, 'randomforestregressor__max_samples': 400, 'randomforestregressor__max_depth': 950}",0.4994295857445237,0.4400005474669203,0.39796179795149433,0.476730817484901,0.4828410923737795,0.4593927682043238,0.03634061350415279,26
11,8.299374198913574,0.6721493161110862,1.329872989654541,0.08563752556169962,350,7,2,450,950,"{'randomforestregressor__n_estimators': 350, 'randomforestregressor__min_samples_split': 7, 'randomforestregressor__min_samples_leaf': 2, 'randomforestregressor__max_samples': 450, 'randomforestregressor__max_depth': 950}",0.5807255263206279,0.636999918077131,0.5814381487939531,0.6447216260826594,0.6758594721838928,0.6239489382916528,0.03734157663124486,8
