,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_xgbregressor__n_estimators,param_xgbregressor__max_samples,param_xgbregressor__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,6.041785812377929,0.1443917339545643,0.07699494361877442,0.028078124592282313,110,870,270,"{'xgbregressor__n_estimators': 110, 'xgbregressor__max_samples': 870, 'xgbregressor__max_depth': 270}",0.8290994193782704,0.7711082825511126,0.849859914231281,0.7800290014971952,0.8805137031922627,0.8221220641700244,0.04147743280307238,27
1,9.468524932861328,0.24942808097632357,0.06422920227050781,0.007210117424493175,520,790,100,"{'xgbregressor__n_estimators': 520, 'xgbregressor__max_samples': 790, 'xgbregressor__max_depth': 100}",0.8290994294004553,0.7711082923028245,0.8498599215416068,0.7800290058022997,0.8805137171402073,0.8221220732374789,0.0414774347726142,11
2,12.676784896850586,0.27023035145000657,0.07001256942749023,0.004433516527341789,950,630,870,"{'xgbregressor__n_estimators': 950, 'xgbregressor__max_samples': 630, 'xgbregressor__max_depth': 870}",0.8290994368009539,0.771108299146573,0.8498599271942682,0.7800290083785932,0.8805137244695425,0.8221220791979862,0.041477435634918874,1
3,5.84850754737854,0.10907431033480926,0.05285730361938477,0.004183850578354541,150,930,130,"{'xgbregressor__n_estimators': 150, 'xgbregressor__max_samples': 930, 'xgbregressor__max_depth': 130}",0.8290994213840628,0.7711082847508077,0.8498599156336035,0.7800290024866385,0.8805137067682,0.8221220662046624,0.041477433323036626,26
4,11.253569173812867,0.2469479084705214,0.062233591079711915,0.0028626408992989435,830,770,320,"{'xgbregressor__n_estimators': 830, 'xgbregressor__max_samples': 770, 'xgbregressor__max_depth': 320}",0.8290994349513385,0.7711082972448751,0.8498599257101527,0.7800290077982867,0.8805137224637426,0.8221220776336791,0.04147743539501076,2
5,10.804444360733033,0.24568477286734858,0.07021222114562989,0.0024911638166999817,790,150,110,"{'xgbregressor__n_estimators': 790, 'xgbregressor__max_samples': 150, 'xgbregressor__max_depth': 110}",0.8290994342925164,0.7711082965979581,0.8498599251747747,0.7800290075937731,0.880513721805784,0.8221220770929613,0.04147743531662563,3
6,7.990830993652343,0.21135935019718274,0.07500033378601074,0.015209032129241247,420,820,400,"{'xgbregressor__n_estimators': 420, 'xgbregressor__max_samples': 820, 'xgbregressor__max_depth': 400}",0.8290994275373862,0.7711082906778814,0.8498599201698778,0.7800290051204405,0.8805137152853174,0.8221220717581806,0.04147743454230997,18
7,10.535144805908203,0.3179642382541367,0.07949090003967285,0.003213280768629237,640,50,340,"{'xgbregressor__n_estimators': 640, 'xgbregressor__max_samples': 50, 'xgbregressor__max_depth': 340}",0.8290994316047544,0.7711082942284166,0.849859923169533,0.7800290065922941,0.8805137192407471,0.822122074967149,0.041477435021927085,10
8,7.950466871261597,0.26126159953755923,0.07280426025390625,0.007620644839678735,310,980,660,"{'xgbregressor__n_estimators': 310, 'xgbregressor__max_samples': 980, 'xgbregressor__max_depth': 660}",0.829099425441104,0.7711082888915168,0.8498599186112131,0.7800290043662341,0.8805137132032819,0.82212207010267,0.04147743426959342,22
9,7.683593511581421,0.11404867432825838,0.0710106372833252,0.024948818883183847,260,1030,660,"{'xgbregressor__n_estimators': 260, 'xgbregressor__max_samples': 1030, 'xgbregressor__max_depth': 660}",0.8290994244800356,0.7711082880896061,0.8498599179146898,0.7800290040045519,0.8805137122548796,0.8221220693487525,0.04147743414773571,24
10,9.62819275856018,0.2346103832018397,0.07898983955383301,0.015571373476560839,440,270,280,"{'xgbregressor__n_estimators': 440, 'xgbregressor__max_samples': 270, 'xgbregressor__max_depth': 280}",0.8290994279088635,0.771108291013236,0.8498599204286528,0.7800290052450483,0.8805137156555967,0.8221220720502794,0.04147743458589116,16
11,10.056728029251099,0.2376577630219215,0.07280464172363281,0.004135582366423373,520,300,760,"{'xgbregressor__n_estimators': 520, 'xgbregressor__max_samples': 300, 'xgbregressor__max_depth': 760}",0.8290994294004553,0.7711082923028245,0.8498599215416068,0.7800290058022997,0.8805137171402073,0.8221220732374789,0.0414774347726142,11
12,12.17116847038269,0.2960998934336978,0.08936171531677246,0.017235467657101666,740,1040,540,"{'xgbregressor__n_estimators': 740, 'xgbregressor__max_samples': 1040, 'xgbregressor__max_depth': 540}",0.8290994334042978,0.7711082958109607,0.8498599245231739,0.7800290072468518,0.8805137209842551,0.822122076393908,0.04147743523228506,7
13,12.798836517333985,0.35773902987219014,0.07400212287902833,0.004901949831531962,770,230,490,"{'xgbregressor__n_estimators': 770, 'xgbregressor__max_samples': 230, 'xgbregressor__max_depth': 490}",0.8290994339372793,0.7711082962853572,0.8498599249125173,0.7800290074386321,0.8805137214725693,0.822122076809271,0.04147743528416119,4
14,8.238745307922363,0.12469143356409258,0.07499957084655762,0.0162953066403763,340,370,860,"{'xgbregressor__n_estimators': 340, 'xgbregressor__max_samples': 370, 'xgbregressor__max_depth': 860}",0.8290994260316032,0.771108289384266,0.8498599190519099,0.78002900456118,0.8805137137824078,0.8221220705622734,0.041477434350685,20
15,9.113267183303833,0.16881142506022842,0.07240614891052247,0.011258766521408888,430,330,610,"{'xgbregressor__n_estimators': 430, 'xgbregressor__max_samples': 330, 'xgbregressor__max_depth': 610}",0.8290994277201177,0.7711082908394825,0.8498599202947327,0.7800290051869335,0.8805137154505974,0.8221220718983726,0.041477434558445894,17
