,0
areaacres,0.5192550484233145
za_mean,0.6547088023499423
lc_21,0.541643174709356
lc_22,0.5288202534815598
lc_31,0.4487767470822348
lc_41,0.5893965460459976
lc_42,0.4328855482113747
lc_43,0.628011297391331
lc_52,0.47941356488157183
lc_71,0.4768361680563533
lc_81,0.5261996295830436
lc_82,0.5794389382317444
lc_90,0.49171494873687216
lc_95,0.31356313104513944
week,0.04548495470946179
airtemp_narr,0.016933152888012337
precip3_narr,0.009274165673111234
humidity_narr,0.011914475938148428
cl_cover_narr,0.008849906841831512
sfc_runoff,0.05714992333669211
windspeed_narr,0.012972679201407544
wdirection_narr,0.005914989335998655
precip24_narr,0.027155170118085437
precip48_narr,0.03749853020283389
of_dist,0.6441846337577459
