,features,importance
0,of_dist,0.37220229593624277
1,lc_82,0.20045674359768917
2,lc_90,0.08987467807128845
3,lc_52,0.07663972172468234
4,precip48_narr,0.04219030166449316
5,precip24_narr,0.04131883203324243
6,lc_81,0.03915419686356831
7,week,0.036852263977300494
8,lc_95,0.035741773676860225
9,areaacres,0.03359497850646757
10,airtemp_narr,0.031974213948165235
