,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_randomforestregressor__n_estimators,param_randomforestregressor__max_samples,param_randomforestregressor__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.37061057090759275,0.05378393583114371,0.1312467098236084,0.005071085326220863,100,200,300,"{'randomforestregressor__n_estimators': 100, 'randomforestregressor__max_samples': 200, 'randomforestregressor__max_depth': 300}",0.6040072905273508,0.5560282207172722,0.6360946032490606,0.6083343708096551,0.6790878828122102,0.6167104736231097,0.04044886014545802,25
1,2.1981177806854246,0.27563683570269965,0.7609641075134277,0.4118685980199019,450,400,350,"{'randomforestregressor__n_estimators': 450, 'randomforestregressor__max_samples': 400, 'randomforestregressor__max_depth': 350}",0.7226825752855339,0.6599165330706185,0.7155322633707655,0.6824397150048924,0.7722310373060298,0.7105604248075681,0.038289706833337184,19
2,0.05624909400939941,0.03058838771894936,0.0,0.0,400,0,550,"{'randomforestregressor__n_estimators': 400, 'randomforestregressor__max_samples': 0, 'randomforestregressor__max_depth': 550}",,,,,,,,29
3,2.6439255237579347,0.5608879439998277,0.21981558799743653,0.11734484757925182,300,950,1000,"{'randomforestregressor__n_estimators': 300, 'randomforestregressor__max_samples': 950, 'randomforestregressor__max_depth': 1000}",0.8172396235560974,0.7516491468066901,0.7961322394783646,0.7812221603454942,0.8537862380575266,0.8000058816488347,0.034338129505935414,3
4,6.529035377502441,0.3166959388488084,0.954547929763794,0.3855815070166446,800,900,850,"{'randomforestregressor__n_estimators': 800, 'randomforestregressor__max_samples': 900, 'randomforestregressor__max_depth': 850}",0.8118235533112714,0.7487950489962037,0.7909230366008206,0.774132142662436,0.8472197950794099,0.7945787153300283,0.033454560639677736,5
5,2.202703332901001,0.6199891176509974,1.1132212638854981,0.32178309387016646,250,950,450,"{'randomforestregressor__n_estimators': 250, 'randomforestregressor__max_samples': 950, 'randomforestregressor__max_depth': 450}",0.8176261063717376,0.7537268257808046,0.7957643181848247,0.7846229947997725,0.8547409751410175,0.8012962440556315,0.03374745229982775,1
6,6.311833477020263,0.40685885340109723,0.6831765174865723,0.2732280035186489,750,300,650,"{'randomforestregressor__n_estimators': 750, 'randomforestregressor__max_samples': 300, 'randomforestregressor__max_depth': 650}",0.6848483153462122,0.6267795797671782,0.677463401486583,0.6331487873868732,0.7372025290660027,0.6718885226105697,0.04000134685518437,20
7,1.6235600471496583,0.2724743966083979,0.37719125747680665,0.07673433414411977,150,300,750,"{'randomforestregressor__n_estimators': 150, 'randomforestregressor__max_samples': 300, 'randomforestregressor__max_depth': 750}",0.677700584805462,0.6118641883883363,0.6719971169141563,0.6377389504186671,0.7418589762418388,0.6682319633536921,0.043890586901436414,21
8,1.3320411682128905,0.20251020333065525,0.2652888774871826,0.109018568567686,150,900,350,"{'randomforestregressor__n_estimators': 150, 'randomforestregressor__max_samples': 900, 'randomforestregressor__max_depth': 350}",0.8151372264932994,0.7432085210412743,0.7960190764433821,0.7880562975851737,0.8455593059524181,0.7975960855031097,0.03364420848315689,4
9,3.478443908691406,0.3839541695788858,0.8912356853485107,0.41699851861250653,600,600,50,"{'randomforestregressor__n_estimators': 600, 'randomforestregressor__max_samples': 600, 'randomforestregressor__max_depth': 50}",0.7720706248313779,0.7095469790366034,0.75605029245484,0.7208343011039703,0.812005518107824,0.7541015431069231,0.03680047394511475,14
10,6.76038088798523,0.5649286566732323,1.2033841609954834,0.5222959762463528,800,900,250,"{'randomforestregressor__n_estimators': 800, 'randomforestregressor__max_samples': 900, 'randomforestregressor__max_depth': 250}",0.8118235533112714,0.7487950489962037,0.7909230366008206,0.774132142662436,0.8472197950794099,0.7945787153300283,0.033454560639677736,5
11,0.14342041015625,0.06343586063917608,0.0,0.0,850,0,250,"{'randomforestregressor__n_estimators': 850, 'randomforestregressor__max_samples': 0, 'randomforestregressor__max_depth': 250}",,,,,,,,28
12,7.690143013000489,0.2975730190863595,0.6258271217346192,0.11464279041609718,950,600,850,"{'randomforestregressor__n_estimators': 950, 'randomforestregressor__max_samples': 600, 'randomforestregressor__max_depth': 850}",0.7745844463790288,0.7086142990197981,0.7568509129121253,0.7177556933369583,0.810515861120831,0.7536642425537483,0.03741346722512637,15
13,8.175040006637573,0.33310337144013313,0.7176786422729492,0.13856823580193273,1000,550,300,"{'randomforestregressor__n_estimators': 1000, 'randomforestregressor__max_samples': 550, 'randomforestregressor__max_depth': 300}",0.7647985510471031,0.6991118966649783,0.7498218934048482,0.7121582260908104,0.8006233484418355,0.745302783129915,0.03658697015201849,16
14,4.7568755626678465,0.2845382839564916,0.5531200408935547,0.18799275771051263,600,200,50,"{'randomforestregressor__n_estimators': 600, 'randomforestregressor__max_samples': 200, 'randomforestregressor__max_depth': 50}",0.625473974648886,0.5651686599897014,0.6255657905287824,0.6008920124737838,0.6831466617437683,0.6200494198769844,0.03852277802821238,23
15,0.1029247760772705,0.021282228869865676,0.0,0.0,0,100,700,"{'randomforestregressor__n_estimators': 0, 'randomforestregressor__max_samples': 100, 'randomforestregressor__max_depth': 700}",,,,,,,,27
16,5.276881170272827,0.3997933381878487,1.0978630542755128,0.4352537196279453,600,700,750,"{'randomforestregressor__n_estimators': 600, 'randomforestregressor__max_samples': 700, 'randomforestregressor__max_depth': 750}",0.7874199808721681,0.7205488619557312,0.7690262067853144,0.7448127073868613,0.8267252247718584,0.7697065963543868,0.03633604124498548,10
