,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,-0.016600873,0.3825599,-0.014707962,-0.027701698,0.0071213143,-0.012556315,1.7932909,1.5418243,-0.00054137193,-0.8596075,0.23757464,-0.9765458,-0.51539516,-0.8992985,0.033188272,-1.0537031,0.05082586,-1.7985704,-0.8124903,1.1552848,-0.71199644,-0.9506385,13.188023,-0.43845266
1,-0.021746017,0.33990556,-0.010534282,0.32494038,-0.020191496,-0.016332926,3.1483793,2.6645343,-0.023360275,-1.5910841,-1.1725097,-0.5150898,-0.829367,-1.0664138,0.29447594,-0.7309452,-0.06385326,-1.6313618,-0.7735233,1.2124629,-0.9220833,4.7678304,19.053188,-0.005404467
2,-0.04203269,0.31320596,-0.009351324,0.36601877,-0.01419535,-0.053751048,3.3017936,2.589322,-0.022082198,-1.6770993,-1.183651,-0.51915777,-0.84132975,-1.0876766,-0.21901056,-0.7548411,-0.26654443,0.22620666,-0.7462846,1.2722152,-0.6482302,4.0795383,19.804117,-0.18607812
3,-0.023139162,0.373825,-0.0148137715,-0.10824328,0.011077564,-0.01148061,2.2826087,1.8833332,0.010695658,-0.99873596,0.24557085,-1.240736,-0.3184282,-1.1154689,-0.2021307,-1.1269517,0.38106155,0.41912293,-0.59865904,1.0232493,-0.3480432,-0.88372904,15.986486,0.809991
4,-0.023235988,0.3688618,-0.015725834,-0.112426326,0.0112565365,-0.0122713875,2.280622,1.8835081,0.008773316,-0.9687627,0.34781808,-1.2412746,-0.3196606,-1.1129152,-0.20327848,-1.1274693,0.4493199,0.41973653,-0.6012371,1.0368613,-0.34472522,-0.899617,16.065186,0.8023872
5,-0.023167573,0.32008928,-0.012333424,0.32650533,-0.026404511,-0.025153643,3.1888201,2.283272,-0.02419813,-1.5827569,-1.1724983,-0.5166379,-0.62158597,-1.0213107,0.14430125,-0.7417902,-0.015725933,-1.859488,-0.71437407,1.0469248,-0.80961716,4.31959,18.586176,0.23625375
6,-0.024893062,0.35506022,-0.010839624,0.32829,-0.020531336,-0.02012826,3.145867,2.663852,-0.015960013,-1.6184753,-1.180025,-0.51427585,-0.8387251,-1.0727812,0.31157923,-0.7321378,-0.06594686,-1.5723724,-0.77522045,1.2606542,-0.8925986,4.8252854,18.860579,-0.004314121
7,-0.023851406,0.34709874,-0.015266271,-0.11008165,0.0072300676,-0.0128804855,2.299063,1.7966155,0.0034737352,-0.95512086,0.20608503,-1.2423676,-0.3575607,-1.1891665,-0.15691033,-1.1186756,0.37394008,0.4211423,-0.5941104,0.98297054,-0.3225904,-0.7730033,16.086021,0.7812691
8,-0.008917434,0.42576742,-0.0136892,0.33677846,-0.018103668,-0.050926335,4.7535853,2.6557322,-0.102579005,-1.2978984,-1.2711872,-0.31023192,-1.0750984,-1.0702901,0.1465051,-0.6943802,-0.16001141,-1.3593322,4.647984,1.2569782,-0.43441606,4.2437334,23.758423,0.38565758
9,-0.0320793,0.3434231,-0.009646427,0.37772965,-0.020049818,-0.050104193,3.0935433,2.5596554,-0.0242304,-1.5954757,-1.173158,-0.46966273,-0.83041495,-0.8428705,0.05866654,-0.7136496,-0.057258666,-1.5701252,-0.8049079,1.1985409,-0.7383226,4.355439,18.40032,-0.06441293
10,-0.034299027,0.3399286,-0.012708951,0.3931872,-0.021219498,-0.06346173,3.1441154,2.8522515,-0.015349566,-1.6425983,-1.1787655,-0.51990855,-0.8415921,-1.0826541,-0.23811294,-0.71470153,-0.14214148,-1.5721536,-0.8010609,1.1928424,-0.9014834,4.2494235,18.305716,-0.107495904
11,-0.03833523,0.3377936,-0.009806147,0.37588438,-0.020355087,-0.053845033,3.298613,2.9399943,-0.012977017,-1.7239748,-1.183456,-0.51444876,-0.84765184,-1.0833972,0.35409024,-0.77487767,-0.17663187,0.21848062,-0.7120685,1.2430791,-0.6473119,4.384244,20.338184,-0.18195018
12,-0.028422233,0.31885177,-0.016661664,0.32979637,-0.015682682,-0.029117137,3.2950878,2.68611,-0.018123362,-1.6218114,-1.1884948,-0.5182061,-0.8352139,-1.1526833,0.36228886,-0.8190671,-0.10853411,0.2495402,-0.71094084,1.2500849,-0.62237793,5.1548448,21.233753,-0.11746777
13,-0.028751148,0.34591556,-0.011779345,0.38275006,-0.028978135,-0.032958142,3.1453507,2.957865,-0.014900721,-1.6259757,-1.1808294,-0.5195598,-0.84293455,-1.0750052,0.29176646,-0.73666227,-0.033520475,-1.5902187,-0.77181244,1.2143812,-0.8845238,4.7614026,18.845104,-0.02944417
14,-0.012675384,0.38494805,-0.016551176,-0.108404174,0.0048471326,-0.016691025,1.8824037,1.60659,0.0054271454,-0.90105116,0.23131879,-1.2397299,-0.5169965,-1.0974387,-0.08531211,-1.0480382,0.008442856,-1.860694,-0.7827831,1.1453959,-0.90493506,-1.0915314,13.371235,-0.3415579
15,-0.036598563,0.3419579,-0.010575399,0.367261,-0.013053178,-0.05541444,3.3016446,2.653821,-0.014096674,-1.7226653,-1.1845222,-0.513303,-0.8418789,-1.0816702,0.3595371,-0.76648366,-0.19377069,0.22082824,-0.7122526,1.2678083,-0.6670945,4.3680706,20.420563,-0.1446225
16,-0.02310522,0.38364154,-0.014840375,-0.06761835,0.007108723,-0.01725389,1.8855089,1.6062802,0.007164202,-0.9145026,0.23188716,-1.2407346,-0.51427263,-1.0944234,-0.08012307,-1.0486603,0.009295174,-1.8606542,-0.78296036,1.1549734,-0.9058188,-1.0886787,13.316852,-0.3366554
17,-0.03019247,0.30703384,-0.009493292,0.37154987,-0.016325122,-0.023113469,3.1398885,2.5722558,-0.012056133,-1.6903375,-1.1733674,-0.47393125,-0.8406818,-1.0785052,-0.3781757,-0.7520771,-0.23966491,-0.25002173,-0.7980716,1.266821,-0.63385946,4.253488,19.41365,0.06460711
18,-0.033463903,0.32439673,-0.011504878,0.33444518,-0.0143441055,-0.05013465,3.242506,2.6066284,-0.024136662,-1.6301776,-1.181918,-0.4669303,-0.84066707,-0.8456025,0.035941817,-0.7585971,-0.17242643,0.21792361,-0.74455875,1.2753592,-0.47085586,4.165727,19.852655,-0.1860438
19,-0.024452128,0.4027919,-0.016087662,-0.11255993,0.0077242353,-0.020725122,2.0326695,1.6515939,0.009641573,-0.95623857,0.22726536,-1.2416822,-0.5198344,-1.1087798,-0.030566566,-1.0985138,-0.047826514,0.23882987,-0.7224853,1.2342728,-0.64428055,-1.0588788,15.168898,-0.45790812
20,0.0032648693,0.4204908,-0.016484624,0.3212804,-0.0055167046,-0.12975529,4.7752314,2.2214346,-0.11120014,-1.5344994,-1.2436014,-0.28896645,-0.6491188,-0.97458434,-0.06343591,-0.98082703,-0.2952668,-0.66657186,6.728349,0.8398383,-0.34324405,4.16805,25.899025,-0.015368718
21,0.004228144,0.34946713,-0.014461362,-0.066734694,0.02064058,-0.014825519,1.934702,1.4585531,-0.063300095,-0.84019876,0.2702788,-1.2467431,-0.348383,-1.2430599,-0.14385363,-1.0869293,0.41562372,-0.607463,-0.7225256,0.73336464,-0.74764174,-1.7594892,14.144437,0.39967746
22,0.030213252,0.35846028,-0.011242106,-0.11871767,0.014387165,-0.015447026,2.8317652,1.3742105,-0.04265798,-0.9924885,0.18160509,-0.8453691,-0.34192735,-1.336699,0.13613704,-0.81341225,0.13460493,-2.1014583,-0.733619,0.5964834,-0.85684985,0.768264,15.39508,0.13143751
