,feature,importance
0,areaacres,0.0006667539
1,za_mean,0.0006303969
2,lc_11,0.007392454
3,lc_21,0.006664056
4,lc_24,0.00056532334
5,lc_41,0.003828491
6,lc_42,0.001858152
7,lc_43,0.0069849906
8,lc_81,0.008784098
9,lc_82,0.040280573
10,lc_90,0.0029423416
11,lc_95,0.005822835
12,of_dist,0.0010863077
13,precip3_narr,5.0855953e-05
14,humidity_narr,4.4282846e-05
15,cl_cover_narr,2.8293749e-05
16,sfc_runoff,0.00013246454
17,sfc_air_narr,7.133528e-05
18,u_wind_narr,5.1556806e-05
19,windspeed_narr,3.4601533e-05
20,precip24_narr,0.00012472963
21,HUC12_,1.950041e-06
22,week,0.0
23,,0.0
24,,1.1933571e-07
25,,0.0
26,,0.0
27,,0.6782067
28,,0.0
29,,1.5468462e-05
30,,0.0
31,,2.0463036e-05
32,,0.00013843099
33,,0.0
34,,2.1282496e-08
35,,0.026818125
36,,1.674206e-05
37,,0.0
38,,0.00043599386
39,,3.748315e-05
40,,0.0
41,,9.410887e-10
42,,3.93657e-05
43,,9.733573e-10
44,,7.2773773e-06
45,,1.6261563e-08
46,,1.2857296e-09
47,,0.0
48,,0.0
49,,0.0
50,,8.759579e-09
51,,0.0
52,,1.3562864e-09
53,,0.0
54,,1.2556226e-09
55,,0.0
56,,1.3603098e-05
57,,0.0
58,,1.1544874e-07
59,,1.2980478e-05
60,,9.6937164e-08
61,,0.0
62,,3.689616e-06
63,,3.7924633e-07
64,,6.055057e-09
65,,5.495976e-09
66,,3.5666315e-07
67,,1.2135709e-07
68,,1.4308598e-08
69,,0.0
70,,2.177935e-09
71,,3.1656422e-09
72,,2.9172105e-08
73,,9.348635e-09
74,,1.4391197e-09
75,,2.2561639e-05
76,,0.056760803
77,,2.5220874e-08
78,,1.8477589e-05
79,,2.508135e-07
80,,3.6733e-08
81,,4.9798565e-09
82,,0.001282553
83,,8.004499e-09
84,,0.0
85,,0.0
86,,1.1322609e-06
87,,1.3214464e-09
88,,4.2170973e-09
89,,2.6548206e-09
90,,1.5691e-09
91,,7.253897e-08
92,,0.0
93,,4.8390163e-09
94,,1.0143333e-09
95,,0.0
96,,0.0
97,,0.12386984
98,,0.0
99,,0.0
100,,0.0
101,,4.67847e-09
102,,0.0
103,,0.0
104,,3.2810863e-08
105,,0.0
106,,0.0
107,,1.1213507e-09
108,,9.578377e-09
109,,2.1638582e-08
110,,6.0769305e-09
111,,0.0
112,,0.0
113,,3.367161e-07
114,,1.0344043e-08
115,,0.0
116,,2.569673e-09
117,,0.0
118,,0.004919693
119,,5.9826313e-09
120,,1.0668815e-07
121,,1.33451215e-08
122,,4.730508e-05
123,,1.3198865e-06
124,,0.0
125,,0.0
126,,5.6923e-09
127,,2.0645038e-08
128,,0.0
129,,3.1876268e-06
130,,6.227587e-07
131,,0.0
132,,0.00018027339
133,,0.0
134,,1.0798937e-09
135,,0.0
136,,0.0
137,,0.0
138,,0.0
139,,1.5833946e-09
140,,0.0
141,,1.9376232e-09
142,,0.0
143,,0.0
144,,8.995193e-08
145,,0.0
146,,2.663191e-06
147,,0.0
148,,3.81111e-09
149,,3.452726e-07
150,,0.0
151,,2.1028234e-07
152,,0.0
153,,5.4432165e-09
154,,5.4291154e-09
155,,0.0
156,,4.315341e-09
157,,6.8293994e-06
158,,0.0
159,,3.827055e-08
160,,1.1677814e-08
161,,0.0
162,,4.4640673e-09
163,,2.2541174e-08
164,,0.0
165,,7.085372e-07
166,,3.776937e-07
167,,9.270002e-05
168,,6.9540693e-09
169,,7.107079e-08
170,,0.0
171,,1.04097495e-07
172,,1.601987e-07
173,,1.8526212e-06
174,,0.0
175,,3.756347e-05
176,,6.0013554e-09
177,,1.7249001e-06
178,,4.258618e-08
179,,1.4232165e-09
180,,3.1140746e-06
181,,7.707818e-08
182,,0.0
183,,1.6288225e-06
184,,5.2640625e-09
185,,1.1177032e-06
186,,0.0
187,,0.0
188,,0.0
189,,1.8809642e-07
190,,1.5156989e-09
191,,4.6054517e-08
192,,0.0
193,,0.00010597824
194,,2.2052964e-05
195,,7.320662e-05
196,,0.01129488
197,,2.628321e-09
198,,8.404831e-08
199,,1.7798112e-09
200,,0.0
201,,1.8977858e-07
202,,4.4457864e-09
203,,0.0
204,,1.1158585e-09
205,,0.0
206,,2.7027114e-09
207,,3.0146502e-08
208,,0.0
209,,0.0
210,,3.8573514e-08
211,,1.5487852e-09
212,,2.7360287e-09
213,,7.271633e-05
214,,9.053055e-09
215,,0.0
216,,2.3733259e-08
217,,4.3337662e-09
218,,4.451626e-09
219,,0.00016593841
220,,6.3248926e-09
221,,3.4988112e-09
222,,9.5047204e-07
223,,1.4501857e-07
224,,3.1693737e-09
225,,1.3573378e-08
226,,1.0858697e-07
227,,0.0
228,,2.0465647e-09
229,,2.7240156e-07
230,,1.5771327e-08
231,,2.2522563e-07
232,,0.0
233,,0.0
234,,1.992354e-07
235,,3.210942e-06
236,,6.792436e-05
237,,2.863768e-05
238,,0.0
239,,1.3759691e-06
240,,1.0294851e-07
241,,0.0
242,,0.0
243,,0.0
244,,1.0036129e-05
245,,1.0699614e-05
246,,1.24249775e-08
247,,0.0
248,,7.421068e-05
249,,0.0
250,,0.0
251,,0.0
252,,1.4528243e-09
253,,3.7437022e-09
254,,5.4911977e-09
255,,0.0
256,,0.0
257,,9.570878e-09
258,,3.5638483e-09
259,,7.335953e-08
260,,0.0
261,,0.0
262,,0.0
263,,0.0
264,,1.2801362e-05
265,,2.6417224e-08
266,,6.464276e-09
267,,0.0
268,,2.1887576e-09
269,,0.0
270,,4.3564015e-08
271,,0.0
272,,1.1665797e-09
273,,6.549584e-08
274,,0.0
275,,0.0
276,,0.0
277,,0.0
278,,3.990692e-09
279,,0.0
280,,2.0561046e-09
281,,0.0
282,,0.0
283,,0.0
284,,0.0
285,,0.0
286,,0.0
287,,1.154435e-09
288,,0.0
289,,2.1998368e-09
290,,2.9747165e-08
291,,1.4051767e-08
292,,1.7823353e-09
293,,0.0
294,,0.0
295,,8.196118e-07
296,,5.906308e-06
297,,4.9757597e-07
298,,7.3712205e-09
299,,4.535565e-07
300,,0.0
301,,0.0
302,,8.6537943e-07
303,,0.0
304,,1.9607477e-07
305,,2.4834619e-09
306,,1.0548037e-05
307,,4.487976e-07
308,,9.217206e-08
309,,7.9501135e-08
310,,0.0
311,,3.7327748e-08
312,,0.0002514337
313,,2.0043979e-05
314,,0.00039065783
315,,1.780131e-07
316,,0.0
317,,0.0
318,,2.6230593e-09
319,,0.0
320,,0.0
321,,7.1407624e-07
322,,2.8526085e-08
323,,0.0
324,,1.3669892e-05
325,,0.0
326,,3.0191663e-09
327,,0.0
328,,3.1056844e-09
329,,0.0
330,,2.5049903e-08
331,,9.456795e-08
332,,0.0
333,,9.0792804e-07
334,,0.0
335,,0.0
336,,0.0
337,,9.411388e-05
338,,6.11795e-08
339,,0.0
340,,0.0
341,,3.0862999e-09
342,,1.8494104e-09
343,,1.508867e-09
344,,0.0
345,,1.6545798e-09
346,,0.0
347,,1.5903956e-07
348,,4.706267e-06
349,,0.0
