,feature,importance
0,areaacres,0.03079086
1,za_mean,0.015366579
2,lc_11,0.07254326
3,lc_21,0.06410049
4,lc_24,0.011214394
5,lc_41,0.025105402
6,lc_42,0.014437179
7,lc_43,0.022054987
8,lc_81,0.014031765
9,lc_82,0.09761739
10,lc_90,0.020873362
11,lc_95,0.021434838
12,of_dist,0.030007113
13,precip3_narr,0.0005437176
14,humidity_narr,0.0017150284
15,cl_cover_narr,0.0004365296
16,sfc_runoff,0.0017485153
17,sfc_air_narr,0.0013477831
18,u_wind_narr,0.0009400262
19,windspeed_narr,0.0009394878
20,precip24_narr,0.0027679922
21,HUC12_,0.00078724464
22,week,0.0
23,,0.0
24,,0.0
25,,0.0
26,,0.0
27,,0.06332121
28,,0.0
29,,0.00030132482
30,,0.0
31,,0.0017480651
32,,0.0046310853
33,,0.0
34,,0.0
35,,0.005444199
36,,0.0031341708
37,,0.0
38,,0.008592476
39,,0.0011371449
40,,0.0
41,,0.0
42,,0.0004447357
43,,0.0
44,,0.00052942865
45,,0.00033078738
46,,0.0
47,,0.00044008737
48,,0.0
49,,0.0
50,,0.0015399258
51,,0.0012069439
52,,0.0004765047
53,,0.0
54,,0.0
55,,0.0
56,,0.0013283257
57,,0.0
58,,0.0
59,,0.0
60,,0.00034220074
61,,0.0004312655
62,,0.0
63,,0.0021814017
64,,0.0
65,,0.0
66,,0.0017936016
67,,0.0009200344
68,,0.00039654842
69,,0.0
70,,0.00248191
71,,0.0012916287
72,,0.00057745655
73,,0.0002540496
74,,0.0021166138
75,,0.040203888
76,,0.027789727
77,,0.004780275
78,,0.00083419884
79,,0.003412644
80,,0.00055038754
81,,0.0005506993
82,,0.0
83,,0.0
84,,0.0
85,,0.001360629
86,,0.0018694616
87,,0.0
88,,0.0011828246
89,,0.0021215589
90,,0.0
91,,0.0
92,,0.0002599577
93,,0.00053183595
94,,0.00030250504
95,,0.0002853735
96,,0.0
97,,0.061731253
98,,0.0
99,,0.001253525
100,,0.000294943
101,,0.0
102,,0.0
103,,0.00036639444
104,,0.00044158922
105,,0.00048487494
106,,0.0
107,,0.0
108,,0.0
109,,0.00081711943
110,,0.0
111,,0.0
112,,0.0005755437
113,,0.005902145
114,,0.0015915257
115,,0.0
116,,0.0
117,,0.002115097
118,,0.007392753
119,,0.049182627
120,,0.0
121,,0.0023843164
122,,0.0019938254
123,,0.0
124,,0.0
125,,0.0
126,,0.0
127,,0.0002285817
128,,0.0
129,,0.00072146836
130,,0.0
131,,0.0
132,,0.0014208447
133,,0.00045919957
134,,0.0014844858
135,,0.0006132091
136,,0.00096210995
137,,0.0
138,,0.0
139,,0.0
140,,0.0
141,,0.0
142,,0.0
143,,0.0
144,,0.0
145,,0.0
146,,0.0
147,,0.00024027696
148,,0.00024344109
149,,0.0
150,,0.00024422808
151,,0.0003494982
152,,0.000410033
153,,0.0
154,,0.0004438306
155,,0.001151722
156,,0.0
157,,0.0
158,,0.0
159,,0.0
160,,0.0
161,,0.0
162,,0.0
163,,0.0
164,,0.0008626907
165,,0.00044433205
166,,0.0
167,,0.0
168,,0.0
169,,0.0
170,,0.00036684054
171,,0.0
172,,0.0003333824
173,,0.00033469783
174,,0.0
175,,0.0
176,,0.0
177,,0.0
178,,0.0
179,,0.0
180,,0.002451353
181,,0.00080308976
182,,0.0
183,,0.0015170272
184,,0.0021997031
185,,0.0
186,,0.0007785942
187,,0.0
188,,0.0007864201
189,,0.00074339675
190,,0.00059386337
191,,0.0
192,,0.0013654641
193,,0.0005295295
194,,0.0007588308
195,,0.04662963
196,,0.0032730848
197,,0.0002890958
198,,0.026910083
199,,0.0005779212
200,,0.0
201,,0.00067901803
202,,0.0011913871
203,,0.0
204,,0.00022898692
205,,0.0
206,,0.0
207,,0.0007345701
208,,0.0
209,,0.00076330116
210,,0.0019094859
211,,0.00043133216
212,,0.0
213,,0.0006876371
214,,0.0012819828
215,,0.0
216,,0.0
217,,0.0
218,,0.00041863913
219,,0.0024564879
220,,0.0010189861
221,,0.0
222,,0.0
223,,0.00041571175
224,,0.0013917944
225,,0.0
226,,0.0011703726
227,,0.0
228,,0.0012282734
229,,0.0
230,,0.0
231,,0.0031123108
232,,0.00030735493
233,,0.0
234,,0.0
235,,0.00033823057
236,,0.0
237,,0.00024927998
238,,0.0
239,,0.00024918866
240,,0.0
241,,0.0
242,,0.0
243,,0.0
244,,0.0010145477
245,,0.0
246,,0.0
247,,0.0
248,,0.00042428443
249,,0.0
250,,0.0
251,,0.0
252,,0.0
253,,0.0057780473
254,,0.0014901749
255,,0.0020892436
256,,0.0
257,,0.00076108344
258,,0.000827098
259,,0.0
260,,0.0
261,,0.0
262,,0.0
263,,0.0
264,,0.0
265,,0.0
266,,0.0
267,,0.0
268,,0.0
269,,0.0
270,,0.0
271,,0.00046016127
272,,0.0
273,,0.0
274,,0.0
275,,0.00037848475
276,,0.0
277,,0.0
278,,0.0
279,,0.0
280,,0.0
281,,0.0
282,,0.00032545126
283,,0.0
284,,0.0
285,,0.00023028924
286,,0.0
287,,0.000689028
288,,0.00036872152
289,,0.0
290,,0.0
291,,0.0
292,,0.0
293,,0.0
294,,0.0
295,,0.0
296,,0.0
297,,0.0035250736
298,,0.0004558321
299,,0.001062126
300,,0.0
301,,0.0006207286
302,,0.0006290238
303,,0.00071777555
304,,0.0033607255
305,,0.00070194533
306,,0.000797446
307,,0.004651718
308,,0.0
309,,0.0017099587
310,,0.0011986447
311,,0.007523241
312,,0.0010095284
313,,0.00059692067
314,,0.0018485558
315,,0.0020066074
316,,0.0
317,,0.0
318,,0.0
319,,0.0
320,,0.0
321,,0.00093435385
322,,0.002333434
323,,0.0
324,,0.00037781094
325,,0.0
326,,0.0009851157
327,,0.0
328,,0.00046289442
329,,0.0003407801
330,,0.0
331,,0.0
332,,0.0
333,,0.0
334,,0.0
335,,0.00024063166
336,,0.0
337,,0.0
338,,0.0
339,,0.00031108173
340,,0.0
341,,0.0011988806
342,,0.0
343,,0.00024417366
344,,0.0
345,,0.0
346,,0.0
347,,0.0
348,,0.00029996035
349,,0.0
350,,0.0
351,,0.0010192334
352,,0.0
353,,0.0
354,,0.0
355,,0.0
356,,0.0005319855
357,,0.0
358,,0.0
359,,0.0
360,,0.0
361,,0.0
362,,0.0
363,,0.0
364,,0.0
365,,0.0
366,,0.0
367,,0.0
368,,0.0
369,,0.00013636629
370,,0.00061761984
371,,0.00021825444
372,,0.00029663392
373,,0.00052401354
374,,0.0016076877
375,,0.0011056274
376,,0.0004844782
377,,0.00053751766
378,,0.00048727466
379,,0.00082682155
380,,0.00047963092
381,,0.0006000139
382,,0.0009512058
383,,0.00035671526
384,,0.00031357765
385,,0.0003188037
386,,0.0006608453
387,,1.8321292e-05
388,,0.0018726196
389,,0.00056581513
390,,0.0006224673
391,,0.00016040738
392,,0.004237802
393,,0.00019430154
394,,0.00022058451
395,,0.00015825019
396,,0.000102489714
397,,0.0002476382
398,,0.005397602
399,,0.00036568355
400,,0.00032165358
401,,0.0019808414
402,,0.00026745253
403,,0.00036203754
404,,0.00032067354
405,,0.0005508464
406,,0.0011947667
407,,0.0004731397
408,,0.00022348225
409,,0.00023404679
410,,0.00056320766
411,,0.0010149025
412,,0.00053506205
413,,0.00116206
414,,0.0046734796
415,,0.0011524113
416,,0.00014808874
417,,0.0005163827
418,,0.00026769514
419,,0.000191925
420,,7.9130776e-05
421,,0.0
