,features,importance
0,lc_82,0.4278677
1,of_dist,0.17179498
2,lc_90,0.14560437
3,lc_95,0.08686555
4,lc_52,0.08564025
5,lc_81,0.045245897
6,areaacres,0.020463437
7,precip48_narr,0.0058868015
8,precip24_narr,0.0058489144
9,week,0.0026351293
10,airtemp_narr,0.0021470056
